,,Indeks Pembangunan Manusia,,,,,Rata-Rata Lama Sekolah (Tahun),,,,,PDRB ADHK (Milyar Rupiah),,,,,Persentase Penduduk Miskin (%),,,,,Umur Harapan Hidup (Tahun),,,,,Garis Kemiskinan (Rupiah/Kapita/Bulan),,,,,Kepadatan Penduduk (Jiwa/km2),,,,,Persentase Rumah Tangga yang memiliki Akses Sanitasi Layak (%),,,,,Indeks Pembangunan Gender,,,,,Pengeluaran Per Kapita yang Disesuaikan (Rupiah/Kapita/Tahun),,,,
Provinsi,Kabupaten/Kota,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024,2020,2021,2022,2023,2024
Aceh,Simeulue,67.9,68.29,69.17,69.98,70.95,"9,34","9,48","9,73","9,81","9,89","1602,41","1648,1","1707,71","1806,62","1886,61","18,49","18,98","18,37","17,92","17,69",65.26,65.28,65.48,65.61,65.73,444754,458896,493303,538693,576505,45,46,46,47,48,66.51,71.56,70.21,72.67,76.51,77.97,78.27,78.87,79.41,79.78,7085,7148,7371,7686,8106
,Aceh Singkil,69.92,70.21,70.61,71.14,71.76,"8,53","8,68","8,69","8,7","8,72","1713,66","1780,42","1844,67","1909,66","1975,75","20,2","20,36","19,18","19,15","19,06",67.39,67.43,67.65,67.78,67.89,473983,487249,518951,568691,609322,58,59,60,61,62,64.22,69.56,78.92,67.93,63.22,84.48,84.75,84.97,85.23,85.51,8707,8776,8994,9374,9862
,Aceh Selatan,69.79,70.12,70.56,71.14,71.82,"8,87","8,88","8,89","8,91","8,92","4241,41","4345,78","4480,84","4639,2","4788,29","12,87","13,18","12,43","12,1","12,02",64.35,64.4,64.64,64.81,64.97,405786,418689,446224,494565,528243,61,61,62,62,63,68.78,62.55,70.83,74.54,77.96,91.56,91.73,91.99,92.12,92.24,8089,8180,8353,8712,9190
,Aceh Tenggara,71.21,71.28,72.18,72.93,73.59,"9,66","9,67","9,92","10,09","10,1","3436,34","3487,16","3584,21","3693,26","3825,99","13,21","13,41","12,83","12,45","11,99",68.14,68.22,68.48,68.65,68.78,392493,404725,430825,471301,496074,52,53,54,55,55,54.04,62.71,62.88,65.08,64.01,93,93.1,93.11,93.28,93.28,8020,8030,8222,8566,8876
,Aceh Timur,69.02,69.22,70.13,70.73,71.29,"8,15","8,21","8,32","8,47","8,48","8272,64","8433,53","8748,42","8931,14","9344,83","14,08","14,45","13,91","13,39","13,26",68.72,68.74,68.94,69.07,69.18,440455,460422,491550,530934,557943,67,68,69,70,71,74.65,66.75,69.06,70.01,73.59,85.73,85.93,86.5,86.98,87.26,8489,8577,9127,9436,9889
,Aceh Tengah,75.07,75.2,75.79,76.45,77.27,"9,85","9,86","9,87","9,89","10,03","5767,95","5953,12","6245,07","6602,15","6931,25","15,08","15,26","14,5","14,38","14,27",68.85,68.86,69.05,69.18,69.3,492227,505933,533810,584863,626090,50,51,52,52,53,81.26,90.58,89.69,92.61,86.34,97.35,97.26,97.35,97.5,97.89,10673,10780,10957,11323,11805
,Aceh Barat,73.11,73.41,74.09,74.62,75.45,"9,37","9,55","9,87","9,98","9,99","7084,15","7498,18",7747,"8060,2","8664,92","18,34","18,81","17,93","17,86","17,6",67.98,67.99,68.19,68.34,68.48,517264,533712,558638,616091,644009,68,69,69,70,71,83.45,89.6,88.39,90.16,91.09,85.76,85.97,85.98,86.36,86.67,9516,9593,9775,10085,10548
,Aceh Besar,75,75.03,75.44,75.98,76.57,"10,32","10,33","10,35","10,36","10,37","10016,81","10261,59","10658,63","11124,02","11675,2","13,84","14,05","13,38","13,38","13,21",69.78,69.79,69.99,70.14,70.29,477938,489498,519320,564431,586860,137,138,140,142,144,87.51,87.4,83.49,89.07,90.3,94.9,94.93,95.22,95.29,95.37,9641,9644,9894,10309,10810
,Pidie,71.92,71.99,72.49,72.95,73.6,"8,99",9,"9,02","9,03","9,04","7770,64","7975,1","8292,69","8619,88","8977,21","19,23","19,59","18,79","18,78","18,59",66.94,66.95,67.15,67.29,67.41,493145,504452,535713,579450,607117,141,142,144,145,147,63.54,54.1,54.68,60.36,63.88,93.58,93.61,93.81,93.92,93.98,9816,9860,10211,10584,11187
